ID_MEDICAMENTO,DESCRIPCION,PRECIO_UNITARIO,INVENTARIO
751,"NOSCAPINA CLORHIDRATO + ÁCIDO ASCÓRBICO, JARABE",24263,85
752,HASSAPIRIN CARDIO COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 100 mg,61257,79
753,ÁCIDO ACETILSALICÍLICO COMPRIMIDOS 100 mg,60550,63
754,TAPSIN COMPUESTO D.N. POLVO PARA SOLUCIÓN ORAL EN SOBRES,88038,76
755,PARACETAMOL Y CAFEÍNA POLVO EFERVESCENTE PARA SOLUCIÓN ORAL,51161,68
756,PAINPAC CÁPSULAS BLANDAS 200 mg,87382,28
757,"HIDRASAN 90 POLVO PARA SOLUCIÓN ORAL, EN SOBRES",28970,62
758,FRIXIO CREMA TÓPICA,72528,59
759,CARISTOP SENSITIVE COLUTORIO,13169,95
760,NOSCAPINA JARABE 5 mg/5 mL,49198,94
761,PARACETAMOL COMPRIMIDOS 500 mg,48439,16
762,ULPEPTIN SUSPENSIÓN ORAL 262 mg/15 mL,67074,0
763,DOLESS PARCHE DÉRMICO  10%,26511,87
764,DOMPERIDONA COMPRIMIDOS 10 mg,12016,8
765,DOMPERIDONA COMPRIMIDOS 10 mg,48818,98
766,MULGATOL SIMPLE JALEA ORAL,21678,8
767,PARACETAMOL SOLUCIÓN ORAL PARA GOTAS 100 mg/mL,57637,84
768,VAPOLATUM MENTOLADO,47196,84
769,FLUOR-KIN  MENTA FORTE PASTA DENTÍFRICA,13672,26
770,ELCAL-I JARABE INFANTIL 180 mg/10 mL,45027,64
771,ASEPTIDINA JABÓN LÍQUIDO AL 4%,55750,3
772,"ENTEROLYTE  75  SABOR  CEREZA, SOLUCIÓN ORAL",47855,8
773,ENTEROLYTE 75 SABOR A COCO SOLUCIÓN ORAL,12626,94
774,ENTEROLYTE  75 SABOR A MANDARINA SOLUCIÓN ORAL,33927,10
775,ENTEROLYTE  75  SABOR UVA SOLUCIÓN ORAL,73432,64
776,CARDIOASPIRINA 325 EC CON RECUBRIMIENTO ENTÉRICO 325 mg,45153,38
777,IOPOVISOL SOLUCIÓN TÓPICA 10%,76718,33
778,ASEPTIDINA JABÓN LÍQUIDO AL 3%,95686,47
779,ORALGENE MANTENCIÓN COLUTORIO BUCAL,24356,27
780,IBUPROFENO CÁPSULAS BLANDAS 200 mg,52325,9
781,IBUKIDS SUSPENSIÓN ORAL 200 mg/ 5 mL,85732,60
782,DOMPERIDONA COMPRIMIDOS 10 mg,63629,95
783,GESIDOL COMPRIMIDOS 500 mg,65912,62
784,DISGREN COMPRIMIDOS 100 mg,36619,9
785,IOFOAM SOLUCIÓN ESPUMANTE 8%,74266,97
786,"SICCAFLUID GEL OFTÁLMICO 0,25%",84105,79
787,COLONSAN COMPRIMIDOS RECUBIERTOS 500 mg,43725,72
788,ACTRON PEDIÁTRICO SUSPENSIÓN ORAL 200mg/5mL,35111,15
789,DOLORUB GEL DÉRMICO 5%,96312,93
790,OFF  FAMILY AEROSOL REPELENTE DE INSECTOS,59229,9
791,GESIDOL COMPRIMIDOS 1 g,74512,51
792,"SYSTANE BALANCE EMULSIÓN PARA GOTAS  OFTALMICAS 0,6 %",28942,34
793,SYSTANE ULTRA UD SOLUCIÓN OFTÁLMICA,66517,20
794,GEA ARTROM POLVO PARA SOLUCIÓN ORAL,43440,26
795,PARACETAMOL COMPRIMIDOS 500 mg,43477,9
796,GLANDOF COMPRIMIDOS 500 mg,51959,83
797,DUOPLANT GEL TÓPICO 27%,39988,63
798,PARACETAMOL COMPRIMIDOS 500 mg,43448,25
799,KITADOL FLU POLVO PARA SOLUCIÓN ORAL EN SOBRES,22575,4
800,CALCIO / VITAMINA D3 300/125 CÁPSULAS,73954,20
801,FISIOLAX CÁPSULAS BLANDAS 12 mg,21455,47
802,DOMPERIDONA CÁPSULAS 10 mg,10599,82
803,GESIDOL COMPRIMIDOS 500 mg,86319,41
804,PARACETAMOL COMPRIMIDOS 500 mg,65757,8
805,FLAPEX AX COMPRIMIDOS MASTICABLES,18952,60
806,REPELEX CREMA TÓPICA 10%,51834,16
807,CLINICAINE  UNGÜENTO TÓPICO,32571,58
808,MEDICASP SHAMPOO 1%,83274,41
809,FENGEL GEL TÓPICO,96793,91
810,SYSTANE GEL OFTÁMICO EN GOTAS,80445,86
811,SIT-SEF  REPELENTE DE INSECTOS AEROSOL,86753,91
812,REPELENTE DE INSECTOS AEROSOL,90229,21
813,ÁCIDO ASCÓRBICO COMPRIMIDOS MASTICABLES MULTISABOR 1000 mg,57510,64
814,ÁCIDO ASCÓRBICO COMPRIMIDOS MASTICABLES MULTISABOR 500 mg,70666,90
815,ÁCIDO ASCÓRBICO COMPRIMIDOS MASTICABLES MULTISABOR 100 mg,79241,27
816,BABY FASA POMADA DÉRMICA,24858,92
817,EUROGESIC INFANTIL POLVO PARA SUSPENSIÓN ORAL 125 mg/5 mL CON SOLVENTE,82737,2
818,"DICLOFENACO DIETILAMONIO CREMA TÓPICA 1,16%",20756,45
819,HASSAPIRIN 100 COMPRIMIDOS MASTICABLES 100 mg,67413,86
820,"FASALCOL SOLUCIÓN TÓPICA 0,1%",54096,33
821,"CEBION FRESA, SOLUCIÓN ORAL PARA GOTAS 100 mg/mL",78488,48
822,"FISIOLIMP SOLUCIÓN NASAL PARA NEBULIZACIÓN 0,9%",47671,2
823,NAPREBEN GEL 10%,35698,41
824,IPSON SUSPENSIÓN ORAL 100 mg/5 mL,39867,66
825,OCULOTECT FLUID SOLUCIÓN OFTÁLMICA 5%,11247,68
826,HEADOL FLU DÍA POLVO PARA SOLUCIÓN ORAL EN SOBRES,62709,10
827,SALONPAS NUEVA FÓRMULA PARCHE TÓPICO,39331,88
828,ZOFEX COMPRIMIDOS MASTICABLES 5 mg,16064,49
